available,category,price,priceExcludeTax,priceIncludeTax,rating,title
16,Sequential Art,50.40,50.40,50.40,star-rating Three,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)"
16,Nonfiction,19.83,19.83,19.83,,Reskilling America: Learning to Labor in the Twenty-First Century
16,Nonfiction,22.00,22.00,22.00,,In the Country We Love: My Family Divided
16,Sequential Art,51.04,51.04,51.04,,"Saga, Volume 5 (Saga (Collected Editions) #5)"
19,Travel,45.17,45.17,45.17,,It's Only the Himalayas
16,Science Fiction,35.67,35.67,35.67,,Join
16,Add a comment,53.90,53.90,53.90,,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners)
16,Sequential Art,19.92,19.92,19.92,,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12)
16,Food and Drink,40.11,40.11,40.11,,"Layered: Baking, Building, and Styling Spectacular Cakes"
16,Sequential Art,46.91,46.91,46.91,,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)"
14,Christian,47.72,47.72,47.72,,Crazy Love: Overwhelmed by a Relentless God
16,Sequential Art,45.61,45.61,45.61,star-rating Three,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)"
16,Food and Drink,14.02,14.02,14.02,,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed"
14,Fiction,25.01,25.01,25.01,star-rating Three,Cometh the Hour (The Clifton Chronicles #6)
14,Default,47.02,47.02,47.02,star-rating Three,"Hush, Hush (Hush, Hush #1)"
14,Humor,14.75,14.75,14.75,,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened"
14,Fiction,10.60,10.60,10.60,,I Am Pilgrim (Pilgrim #1)
8,Suspense,58.33,58.33,58.33,star-rating Three,Silence in the Dark (Logan Point #4)
8,Christian Fiction,39.67,39.67,39.67,,Shadows of the Past (Logan Point #1)
8,Young Adult,28.93,28.93,28.93,,South of Sunshine
8,Business,36.91,36.91,36.91,,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It
8,Nonfiction,38.89,38.89,38.89,,Smarter Faster Better: The Secrets of Being Productive in Life and Business
6,Poetry,15.42,15.42,15.42,,The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1)
6,Default,10.27,10.27,10.27,,The Fellowship of the Ring (The Lord of the Rings #1)
7,Childrens,32.38,32.38,32.38,,Playing from the Heart
7,Childrens,34.41,34.41,34.41,,Raymie Nightingale
7,Business,51.74,51.74,51.74,,"Rich Dad, Poor Dad"
6,Historical,15.79,15.79,15.79,,The Girl You Left Behind (The Girl You Left Behind #1)
6,Add a comment,46.85,46.85,46.85,star-rating Three,The God Delusion
6,Add a comment,18.77,18.77,18.77,,The Golden Compass (His Dark Materials #1)
6,Travel,30.54,30.54,30.54,,The Great Railway Bazaar
6,Historical Fiction,37.34,37.34,37.34,,The Invention of Wings
6,Default,17.80,17.80,17.80,,The Hobbit (Middle-Earth Universe)
6,Add a comment,43.27,43.27,43.27,,The Joy of Cooking
6,Default,31.58,31.58,31.58,,The Makings of a Fatherless Child
6,Nonfiction,59.45,59.45,59.45,,The Man Who Mistook His Wife for a Hat and Other Clinical Tales
6,Default,55.02,55.02,55.02,star-rating Three,The Perks of Being a Wallflower
6,Mystery,24.80,24.80,24.80,,The Mysterious Affair at Styles (Hercule Poirot #1)
6,History,39.67,39.67,39.67,,The Rise and Fall of the Third Reich: A History of Nazi Germany
7,Fantasy,44.81,44.81,44.81,,A Gathering of Shadows (Shades of Magic #2)
7,History,52.40,52.40,52.40,,A Short History of Nearly Everything
6,Default,57.84,57.84,57.84,,The Sound Of Love
7,Travel,44.34,44.34,44.34,,A Summer In Europe
7,Philosophy,29.93,29.93,29.93,,"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others"
7,Biography,48.19,48.19,48.19,star-rating Three,Benjamin Franklin: An American Life
7,Childrens,52.87,52.87,52.87,star-rating Three,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly"
7,Fiction,40.20,40.20,40.20,,Sister Dear
7,Romance,20.90,20.90,20.90,star-rating Three,"Sit, Stay, Love"
7,Default,20.90,20.90,20.90,,Steal Like an Artist: 10 Things Nobody Told You About Being Creative
7,Add a comment,20.12,20.12,20.12,,Team of Rivals: The Political Genius of Abraham Lincoln
7,Default,33.17,33.17,33.17,,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change
7,Historical Fiction,16.62,16.62,16.62,star-rating Three,The Constant Princess (The Tudor Court #1)
7,Mystery,52.30,52.30,52.30,,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1)
7,Art,32.34,32.34,32.34,,The Art Book
7,Fiction,42.78,42.78,42.78,,The Bourne Identity (Jason Bourne #1)
7,Add a comment,35.67,35.67,35.67,star-rating Three,The Drowning Girls
7,Biography,39.55,39.55,39.55,,The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist
7,Default,49.03,49.03,49.03,star-rating Three,The Good Girl
7,Add a comment,16.24,16.24,16.24,,The Glass Castle
7,Default,36.05,36.05,36.05,,The Great Gatsby
7,Art,41.14,41.14,41.14,,The Story of Art
7,Science,10.01,10.01,10.01,,The Origin of Species
7,Childrens,35.96,35.96,35.96,,The Whale
7,Default,34.72,34.72,34.72,,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible
7,Humor,25.55,25.55,25.55,,Toddlers Are A**holes: It's Not Your Fault
7,Spirituality,46.33,46.33,46.33,,Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain
7,Travel,37.33,37.33,37.33,star-rating Three,Under the Tuscan Sun
7,Mystery,25.37,25.37,25.37,,What Happened on Beale Street (Secrets of the South Mysteries #2)
7,Default,22.14,22.14,22.14,,Wildlife of New York: A Five-Borough Coloring Book
8,Food and Drink,53.63,53.63,53.63,,32 Yolks
8,Nonfiction,13.20,13.20,13.20,star-rating Three,"A Murder Over a Girl: Justice, Gender, Junior High"
7,Self Help,12.08,12.08,12.08,star-rating Three,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life
8,History,44.48,44.48,44.48,,"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination"
8,Nonfiction,55.06,55.06,55.06,,Being Mortal: Medicine and What Matters in the End
8,Nonfiction,56.91,56.91,56.91,,Between the World and Me
8,Nonfiction,19.22,19.22,19.22,,Brazen: The Courage to Find the You That's Been Hiding
8,History,11.45,11.45,11.45,star-rating Three,Brilliant Beacons: A History of the American Lighthouse
8,Default,37.51,37.51,37.51,,Death by Leisure: A Cautionary Tale
8,Science,28.41,28.41,28.41,,Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World
8,Default,43.64,43.64,43.64,,Ender's Game (The Ender Quintet #1)
8,Young Adult,55.65,55.65,55.65,,Future Shock (Future Shock #1)
8,Default,52.86,52.86,52.86,,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back
7,Christian,25.77,25.77,25.77,,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality
7,Music,52.60,52.60,52.60,,"Chronicles, Vol. 1"
7,Christian Fiction,17.97,17.97,17.97,,Counted With the Stars (Out from Egypt #1)
7,Mystery,20.89,20.89,20.89,,Delivering the Truth (Quaker Midwife Mystery #1)
7,Fantasy,12.16,12.16,12.16,,Every Heart a Doorway (Every Heart A Doorway #1)
7,Nonfiction,46.64,46.64,46.64,,Finding God in the Ruins: How God Redeems Pain
7,Nonfiction,45.13,45.13,45.13,star-rating Three,For the Love: Fighting for Grace in a World of Impossible Standards
7,Sequential Art,19.57,19.57,19.57,,"Fruits Basket, Vol. 7 (Fruits Basket #7)"
7,Add a comment,37.05,37.05,37.05,,Good in Bed (Cannie Shapiro #1)
7,Food and Drink,28.25,28.25,28.25,,How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking
7,Food and Drink,46.01,46.01,46.01,,How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything)
7,Add a comment,57.43,57.43,57.43,,John Adams
7,Poetry,51.17,51.17,51.17,,Leave This Song Behind: Teen Poetry at Its Best
7,Default,13.22,13.22,13.22,,Life of Pi
7,Fantasy,39.61,39.61,39.61,,King's Folly (The Kinsman Chronicles #1)
7,Fiction,49.67,49.67,49.67,star-rating Three,Memoirs of a Geisha
7,Christian Fiction,28.77,28.77,28.77,,Like Never Before (Walker Family #2)
7,Food and Drink,11.38,11.38,11.38,,"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories"
7,Womens Fiction,43.58,43.58,43.58,star-rating Three,Meternity
7,Young Adult,50.35,50.35,50.35,,Nightstruck: A Novel
8,Default,41.39,41.39,41.39,,The Martian (The Martian #1)
8,Short Stories,35.88,35.88,35.88,,The Grownup
8,Fiction,51.15,51.15,51.15,,The High Mountains of Portugal
8,Nonfiction,28.45,28.45,28.45,,"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer"
8,Art,43.02,43.02,43.02,star-rating Three,The New Drawing on the Right Side of the Brain
8,Default,43.62,43.62,43.62,,The Unlikely Pilgrimage of Harold Fry (Harold Fry #1)
8,Nonfiction,39.36,39.36,39.36,,When Breath Becomes Air
8,Travel,36.94,36.94,36.94,,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel
8,Nonfiction,17.76,17.76,17.76,,Why Not Me?
8,Nonfiction,34.06,34.06,34.06,star-rating Three,"Zero to One: Notes on Startups, or How to Build the Future"
9,Add a comment,35.79,35.79,35.79,,23 Degrees South: A Tropical Tale of Changing Whether...
9,Add a comment,50.49,50.49,50.49,star-rating Three,A Hero's Curse (The Unseen Chronicles #1)
9,Fantasy,56.63,56.63,56.63,star-rating Three,A Shard of Ice (The Black Symphony Saga #1)
9,Art,48.63,48.63,48.63,,Art and Fear: Observations on the Perils (and Rewards) of Artmaking
9,Nonfiction,35.92,35.92,35.92,,Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster
9,Young Adult,33.23,33.23,33.23,,Don't Forget Steven
9,Humor,43.68,43.68,43.68,star-rating Three,Dress Your Family in Corduroy and Denim
9,Sequential Art,33.95,33.95,33.95,,"Fruits Basket, Vol. 9 (Fruits Basket #9)"
9,Spirituality,20.91,20.91,20.91,,If I Gave You God's Phone Number....: Searching for Spirituality in America
9,Default,47.44,47.44,47.44,,Modern Day Fables
9,Default,10.41,10.41,10.41,,"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond"
9,Childrens,25.08,25.08,25.08,,Nap-a-Roo
9,Novels,54.81,54.81,54.81,,Suzie Snowflake: One beautiful flake (a self-esteem story)
9,Young Adult,54.40,54.40,54.40,,The Alien Club
9,Health,52.98,52.98,52.98,,The Art and Science of Low Carbohydrate Living
9,Religion,24.57,24.57,24.57,star-rating Three,The Book of Mormon
9,Science,55.91,55.91,55.91,,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality"
9,Default,16.68,16.68,16.68,,The Flowers Lied
9,Default,44.05,44.05,44.05,,The New Brand You: Your New Image Makes the Sale for You
9,Food and Drink,12.34,12.34,12.34,,"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York"
9,Fiction,28.03,28.03,28.03,,The Shack
9,Default,58.87,58.87,58.87,,Unlimited Intuition Now
9,Default,11.82,11.82,11.82,,Underlying Notes
8,Art,10.29,10.29,10.29,,History of Beauty
9,Add a comment,58.05,58.05,58.05,,Watchmen
9,Add a comment,48.27,48.27,48.27,,Without Shame
8,Poetry,40.45,40.45,40.45,,Howl and Other Poems
8,Fiction,21.96,21.96,21.96,,Hystopia: A Novel
8,Nonfiction,44.21,44.21,44.21,,I Will Find You
8,Default,56.48,56.48,56.48,,I'll Give You the Sun
8,Default,20.22,20.22,20.22,,John Vassos: Industrial Design for Modern Life
8,Philosophy,47.13,47.13,47.13,,Kierkegaard: A Christian Missionary to Christians
8,Music,45.05,45.05,45.05,,Kill 'Em and Leave: Searching for James Brown and the American Soul
8,Default,40.72,40.72,40.72,,Left Behind (Left Behind #1)
8,Poetry,29.04,29.04,29.04,,Les Fleurs du Mal
8,Nonfiction,12.55,12.55,12.55,star-rating Three,Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want
8,Nonfiction,25.06,25.06,25.06,,"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations"
8,Nonfiction,29.48,29.48,29.48,star-rating Three,Man's Search for Meaning
8,Fiction,58.54,58.54,58.54,,Miller's Valley
8,Young Adult,36.39,36.39,36.39,,My Life Next Door (My Life Next Door )
8,Poetry,53.64,53.64,53.64,,Out of Print: City Lights Spotlight No. 14
8,Music,31.19,31.19,31.19,,Please Kill Me: The Uncensored Oral History of Punk
8,Philosophy,54.21,54.21,54.21,,Proofs of God: Classical Arguments from Tertullian to Barth
8,Nonfiction,21.82,21.82,21.82,star-rating Three,Rising Strong
8,Sequential Art,14.10,14.10,14.10,,Roller Girl
12,Default,58.32,58.32,58.32,,How to Speak Golf: An Illustrated Guide to Links Lingo
12,Mystery,35.28,35.28,35.28,star-rating Three,Most Wanted
12,Historical Fiction,20.55,20.55,20.55,,"Love, Lies and Spies"
12,Mystery,54.36,54.36,54.36,,Murder at the 42nd Street Library (Raymond Ambler #1)
12,Young Adult,54.65,54.65,54.65,,No Love Allowed (Dodge Cove #1)
12,Add a comment,15.71,15.71,15.71,,One with You (Crossfire #5)
12,Mystery,26.80,26.80,26.80,star-rating Three,Poisonous (Max Revere Novels #3)
12,Horror,36.97,36.97,36.97,,Psycho: Sanitarium (Psycho #1.5)
12,Business,43.14,43.14,43.14,,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two
12,Default,49.67,49.67,49.67,,Raspberry Pi Electronics Projects for the Evil Genius
12,Nonfiction,21.21,21.21,21.21,star-rating Three,Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas
12,Young Adult,48.05,48.05,48.05,,Stars Above (The Lunar Chronicles #4.5)
12,Nonfiction,59.90,59.90,59.90,star-rating Three,The Diary of a Young Girl
12,Add a comment,11.88,11.88,11.88,star-rating Three,The Children
12,Young Adult,14.44,14.44,14.44,,The Epidemic (The Program 0.6)
12,Psychology,39.43,39.43,39.43,,The Golden Condom: And Other Essays on Love Lost and Found
12,Fiction,56.54,56.54,56.54,,The Dinner Party
12,Add a comment,59.15,59.15,59.15,,The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore
12,Nonfiction,33.26,33.26,33.26,,The Lonely City: Adventures in the Art of Being Alone
14,Default,51.48,51.48,51.48,star-rating Three,Angels & Demons (Robert Langdon #1)
12,Add a comment,26.20,26.20,26.20,,The Midnight Watch: A Novel of the Titanic and the Californian
14,Add a comment,34.20,34.20,34.20,,Angels Walking (Angels Walking #1)
14,Fiction,17.03,17.03,17.03,star-rating Three,Balloon Animals
14,Young Adult,58.14,58.14,58.14,,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1)
14,Sequential Art,48.80,48.80,48.80,star-rating Three,Art Ops Vol. 1
14,Food and Drink,50.62,50.62,50.62,,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again
14,Sequential Art,32.01,32.01,32.01,,Batman: Europa
14,Nonfiction,37.80,37.80,37.80,,Buying In: The Secret Dialogue Between What We Buy and Who We Are
14,Food and Drink,28.01,28.01,28.01,,Barefoot Contessa Back to Basics
14,Nonfiction,49.32,49.32,49.32,,Brain on Fire: My Month of Madness
14,Default,46.23,46.23,46.23,,Carrie
14,Default,31.85,31.85,31.85,star-rating Three,"Carry On, Warrior: Thoughts on Life Unarmed"
14,Young Adult,50.83,50.83,50.83,star-rating Three,Catching Jordan (Hundred Oaks)
14,Add a comment,20.29,20.29,20.29,,Cell
14,Default,47.27,47.27,47.27,,City of Ashes (The Mortal Instruments #2)
14,Default,11.23,11.23,11.23,,City of Fallen Angels (The Mortal Instruments #4)
14,Fantasy,56.02,56.02,56.02,,City of Glass (The Mortal Instruments #3)
14,Default,43.28,43.28,43.28,,City of Bones (The Mortal Instruments #1)
11,Romance,47.67,47.67,47.67,star-rating Three,Off the Hook (Fishing for Trouble #1)
14,Default,44.14,44.14,44.14,,Clockwork Angel (The Infernal Devices #1)
14,Add a comment,22.13,22.13,22.13,,Code Name Verity (Code Name Verity #1)
11,Mystery,13.71,13.71,13.71,star-rating Three,Playing with Fire
11,Biography,21.15,21.15,21.15,,"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena"
11,Science Fiction,48.74,48.74,48.74,,Sleeping Giants (Themis Files #1)
11,Romance,53.98,53.98,53.98,star-rating Three,Take Me Home Tonight (Rock Star Romance #3)
11,Business,21.00,21.00,21.00,star-rating Three,The Art of Startup Fundraising
11,Mystery,27.26,27.26,27.26,,The Widow
11,Fiction,59.45,59.45,59.45,,The Improbability of Love
11,Nonfiction,11.68,11.68,11.68,,"The Sleep Revolution: Transforming Your Life, One Night at a Time"
11,Default,48.39,48.39,48.39,,Troublemaker: Surviving Hollywood and Scientology
12,Food and Drink,38.77,38.77,38.77,,"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More"
12,Historical Fiction,39.01,39.01,39.01,,A Paris Apartment
12,Horror,48.64,48.64,48.64,,Can You Keep a Secret? (Fear Street Relaunch #4)
12,Mystery,59.48,59.48,59.48,star-rating Three,Boar Island (Anna Pigeon #19)
12,Politics,56.86,56.86,56.86,,Equal Is Unfair: America's Misguided Fight Against Income Inequality
12,Food and Drink,20.10,20.10,20.10,,Everyday Italian: 125 Simple and Delicious Recipes
12,Romance,40.83,40.83,40.83,,Dirty (Dive Bar #1)
12,Default,56.51,56.51,56.51,,Eleanor & Park
12,Nonfiction,41.46,41.46,41.46,,Furiously Happy: A Funny Book About Horrible Things
12,Mystery,11.84,11.84,11.84,,Hide Away (Eve Duncan #20)
10,Health,49.71,49.71,49.71,,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!
10,Nonfiction,24.57,24.57,24.57,,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works"
11,Default,20.88,20.88,20.88,,Adultery
11,Romance,14.75,14.75,14.75,,A Gentleman's Position (Society of Gentlemen #3)
11,Nonfiction,19.53,19.53,19.53,star-rating Three,A Mother's Reckoning: Living in the Aftermath of Tragedy
11,Fiction,48.48,48.48,48.48,star-rating Three,11/22/63
11,Science Fiction,21.36,21.36,21.36,,Arena
11,Business,21.59,21.59,21.59,,Born for This: How to Find the Work You Were Meant to Do
11,Food and Drink,20.50,20.50,20.50,star-rating Three,Cravings: Recipes for What You Want to Eat
11,Fiction,16.34,16.34,16.34,star-rating Three,Daredevils
11,Young Adult,51.34,51.34,51.34,,"Exit, Pursued by a Bear"
11,Psychology,56.27,56.27,56.27,star-rating Three,It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle
11,Womens Fiction,20.46,20.46,20.46,,Keep Me Posted
11,Womens Fiction,48.49,48.49,48.49,,Grey (Fifty Shades #4)
11,Autobiography,40.85,40.85,40.85,,Lab Girl
11,Fiction,45.14,45.14,45.14,,Lies and Other Acts of Love
11,Autobiography,27.18,27.18,27.18,,M Train
11,Historical Fiction,17.28,17.28,17.28,,Lilac Girls
11,Nonfiction,16.89,16.89,16.89,,"Mother, Can You Not?"
12,Fantasy,32.30,32.30,32.30,,The Star-Touched Queen
11,Fiction,13.34,13.34,13.34,,Mothering Sunday
12,Fiction,46.29,46.29,46.29,,The Silent Sister (Riley MacPherson #1)
12,Science,37.55,37.55,37.55,,Tipping Point for Planet Earth: How Close Are We to the Edge?
